timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1774460234551,4020,Login Flow,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-4,,true,,13394,1151,10,10,null,0,11227,0
1774460239383,588,open login page,200,OK,Thread Group 1-4,text,true,,3806,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,588,0,0
1774460243080,2213,Login  Request,200,OK,Thread Group 1-4,text,true,,4866,531,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1290,0,0
1774460243080,1290,Login  Request-0,302,Found,Thread Group 1-4,text,true,,927,326,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,1290,0,0
1774460244371,922,Login  Request-1,200,OK,Thread Group 1-4,text,true,,3939,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,922,0,0
1774460248579,1219,dashboard,200,OK,Thread Group 1-4,text,true,,4722,415,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,606,0,0
1774460248579,606,dashboard-0,302,Found,Thread Group 1-4,text,true,,927,210,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,606,0,0
1774460249186,612,dashboard-1,200,OK,Thread Group 1-4,text,true,,3795,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,612,0,0
1774460233735,3810,Login Flow,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-2,,true,,13366,1150,10,10,null,0,13647,0
1774460237856,557,open login page,200,OK,Thread Group 1-2,text,true,,3802,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,557,0,0
1774460242998,2053,Login  Request,200,OK,Thread Group 1-2,text,true,,4843,530,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1066,0,0
1774460242998,1066,Login  Request-0,302,Found,Thread Group 1-2,text,true,,927,325,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,1066,0,0
1774460244065,986,Login  Request-1,200,OK,Thread Group 1-2,text,true,,3916,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,986,0,0
1774460249991,1200,dashboard,200,OK,Thread Group 1-2,text,true,,4721,415,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,626,0,0
1774460249991,627,dashboard-0,302,Found,Thread Group 1-2,text,true,,927,210,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,626,0,0
1774460250618,573,dashboard-1,200,OK,Thread Group 1-2,text,true,,3794,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,573,0,0
1774460234017,3624,Login Flow,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-1,,true,,13355,1153,10,10,null,0,14410,0
1774460238913,514,open login page,200,OK,Thread Group 1-1,text,true,,3790,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,514,0,0
1774460244397,1940,Login  Request,200,OK,Thread Group 1-1,text,true,,4850,533,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,896,0,0
1774460244397,896,Login  Request-0,302,Found,Thread Group 1-1,text,true,,927,328,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,896,0,0
1774460245294,1043,Login  Request-1,200,OK,Thread Group 1-1,text,true,,3923,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1043,0,0
1774460250881,1170,dashboard,200,OK,Thread Group 1-1,text,true,,4715,415,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,657,0,0
1774460250881,658,dashboard-0,302,Found,Thread Group 1-1,text,true,,927,210,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,657,0,0
1774460251539,512,dashboard-1,200,OK,Thread Group 1-1,text,true,,3788,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,511,0,0
1774460239092,2793,Login Flow,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-7,,true,,13367,1150,10,10,null,0,10819,0
1774460242824,658,open login page,200,OK,Thread Group 1-7,text,true,,3788,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,658,0,0
1774460246721,1196,Login  Request,200,OK,Thread Group 1-7,text,true,,4851,530,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,517,0,0
1774460246721,517,Login  Request-0,302,Found,Thread Group 1-7,text,true,,927,325,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,517,0,0
1774460247239,678,Login  Request-1,200,OK,Thread Group 1-7,text,true,,3924,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,678,0,0
1774460251765,939,dashboard,200,OK,Thread Group 1-7,text,true,,4728,415,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,453,0,0
